Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,,14.66,25.53,25.75,47.2,47.2,25.81,25.74,1,CTB_Ben_Optimised(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/3/2018 2:32:04 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,CTB_Ben_Optimised,0,399,6,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for CTB_Ben_Optimised(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,26010,28919,33896,30312,31008,31538,30177,30728,31681,31961,33051,32974,39038,38541,38881,37129,36696,34592,36899,39287,37397,35913,35471,25388,
B,32501,37658,34402,35796,36859,34960,36269,36417,34933,35590,35127,33230,41117,42523,40662,39192,39683,40438,39434,40316,40736,40853,39746,36898,
C,31914,33355,23066,32193,22214,29757,21348,29681,22563,18260,31214,4002,3993,35469,34029,36853,35975,30889,37454,36497,28891,34490,36542,37633,
D,32165,35332,26262,30264,23474,23175,29275,26764,30612,24005,25629,36172,35084,33823,38216,36340,32600,36766,37388,36153,37343,34549,40493,36725,
E,33678,35710,33092,27612,24314,23655,23069,33197,25548,25683,23196,3957,3924,35762,35291,35650,37299,33320,34707,36483,34733,33538,39264,38661,
F,32316,34439,24062,22099,21946,30128,32955,33376,33354,35256,36760,32240,37169,33165,32502,32154,33747,37870,38997,35308,38264,37281,39410,36522,
G,28468,35057,33661,4004,35161,3988,33827,3975,34623,3970,33642,3956,3880,39057,3954,36963,4024,38293,3995,41480,4031,40024,37614,40071,
H,34745,35575,33943,33557,35199,31398,33206,30065,24733,33387,34713,36031,36838,37544,37001,40798,38725,36526,35157,27056,38529,35836,43830,35986,
I,36683,35292,28865,34236,33979,27866,36245,34214,37551,33733,33238,4006,3978,36063,38084,35294,33605,35576,38928,39226,35305,38487,39047,35899,
J,34636,35375,32823,36313,35222,37237,32637,36649,33400,34626,33627,35350,38700,35419,37972,37533,38683,38948,38880,35187,39243,35552,40328,38655,
K,34426,35223,34892,35875,33553,34179,32379,30857,35097,29905,30213,3940,3975,37942,37937,35915,39021,35764,36001,37028,33977,35061,38912,39844,
L,32520,35993,32780,33845,30310,25850,30697,32125,35086,36503,34961,34803,40292,35932,33556,34207,31340,34151,35783,39770,37968,39696,39105,36963,
M,32922,36191,36192,36341,36672,32683,33851,26323,34564,39041,36020,3977,3949,40756,38738,38046,36853,35332,36863,38718,37339,37413,43439,38283,
N,34163,35517,35897,32968,34144,37630,35715,34897,34150,35445,37269,33124,36823,37184,39508,36693,39474,36231,41517,37255,41542,38672,39267,38143,
O,32679,36325,36844,33416,37223,34411,36242,35382,37947,37351,37923,35042,40164,40821,39364,39758,37372,40953,39482,39351,39502,43308,42241,39109,
P,23957,30805,30572,35138,33138,31670,34197,34443,31368,33202,35286,34907,38997,39774,38665,38948,39498,38894,40135,40723,38897,33965,39224,31933,

Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
2,1,,14.66,25.82,25.95,46.7,47.2,26.01,26.14,1,CTB_Ben_Optimised(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/3/2018 2:33:08 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
2,CTB_Ben_Optimised,0,392,6,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for CTB_Ben_Optimised(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,24609,28877,30900,30961,29572,30672,29304,30619,30630,31453,32441,33523,36734,33251,36571,35548,33839,38408,33010,34077,31415,34222,35688,29974,
B,34923,33242,36265,35206,33728,36043,35162,35845,35482,34954,33372,36586,38456,38152,40149,38460,40513,38918,41384,40997,37384,37899,36366,35090,
C,30003,32681,24511,32457,23809,30281,20507,28634,19407,21199,30375,3944,3950,35815,33330,33046,36710,35081,36291,31089,27114,30593,40121,36643,
D,36071,33575,27112,32647,24356,21087,30936,25704,34132,25030,23876,35012,35855,38283,39415,35156,32857,35991,36789,41960,37919,34786,36775,38702,
E,31211,31670,33254,26309,23867,25982,23453,28181,27668,29011,26167,3906,3952,37847,38238,36576,34994,32293,35743,34423,34783,34960,34762,37227,
F,33527,32010,25285,20560,23687,30822,32197,32193,32328,31840,33150,33618,37400,34123,30605,31154,33676,41006,38316,36563,38385,39018,38550,38403,
