"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","07/12/2017","14:21"

"SN","MAGPX13254704"
"Batch","171207_Evert_mut_PAO"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","809"
"ProtocolName","ProtAtOnce"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","100 uL"
"SampleWash","On"
"BatchStartTime","07/12/2017 14:22:43"
"BatchStopTime","07/12/2017 15:11:34"
"BatchDescription","<None>"
"ProtocolPlate","Name","BioPlex_FlatBottomPlate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","50"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 07/12/2017 10:36:58"
"Last VER Verification","Passed 07/12/2017 10:38:03"
"Last Fluidics Test","Passed 07/12/2017 10:39:18"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B52774","25/02/2018","07/12/2017 10:36:58","25.6","25.6","25.6","25.6","202","234","433","433","0.00703","0.007","0.00387","0.11545","Pass","MAGPX13254704"


"Samples","60","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"1(1,A1)","Unknown1","NaN","2009","NaN","NaN","NaN","286","NaN","NaN","NaN","NaN","1024","NaN","NaN","485","3722","NaN","NaN","NaN","NaN","166","NaN","6313","NaN","NaN","NaN","2587","NaN","NaN","NaN","NaN","3639","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5687"
"2(1,B1)","Unknown2","NaN","340","NaN","NaN","NaN","59","NaN","NaN","NaN","NaN","110","NaN","NaN","99","646","NaN","NaN","NaN","NaN","84","NaN","662.5","NaN","NaN","NaN","823","NaN","NaN","NaN","NaN","983","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","8790"
"3(1,C1)","Unknown3","NaN","2480.5","NaN","NaN","NaN","346","NaN","NaN","NaN","NaN","1034","NaN","NaN","557.5","4428","NaN","NaN","NaN","NaN","195.5","NaN","6916","NaN","NaN","NaN","3088","NaN","NaN","NaN","NaN","3981","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3651"
"4(1,D1)","Unknown4","NaN","2447","NaN","NaN","NaN","388","NaN","NaN","NaN","NaN","1196.5","NaN","NaN","381","4884","NaN","NaN","NaN","NaN","185","NaN","8331.5","NaN","NaN","NaN","3248","NaN","NaN","NaN","NaN","3837","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","6966"
"5(1,E1)","Unknown49","NaN","29.5","NaN","NaN","NaN","20","NaN","NaN","NaN","NaN","43","NaN","NaN","37","29","NaN","NaN","NaN","NaN","45","33","32","NaN","NaN","NaN","23","NaN","NaN","NaN","NaN","70","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","8100"
"6(1,F1)","Unknown51","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","34"
"9(1,A2)","Unknown5","NaN","1927.5","NaN","NaN","NaN","212","NaN","NaN","NaN","NaN","895","NaN","NaN","233","3438","NaN","NaN","NaN","NaN","146","NaN","3308","NaN","NaN","NaN","2616","NaN","NaN","NaN","NaN","3250.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4889"
"10(1,B2)","Unknown6","NaN","2433","NaN","NaN","NaN","217","NaN","NaN","NaN","NaN","783","NaN","NaN","244","3627","NaN","NaN","NaN","NaN","153.5","NaN","3890.5","NaN","NaN","NaN","2852.5","NaN","NaN","NaN","NaN","4061.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2704"
"11(1,C2)","Unknown7","NaN","1953.5","NaN","NaN","NaN","183","NaN","NaN","NaN","NaN","897","NaN","NaN","207.5","3433","NaN","NaN","NaN","NaN","136","NaN","2942","NaN","NaN","NaN","2593","NaN","NaN","NaN","NaN","3210","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4439"
