"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","07/12/2017","13:15"

"SN","MAGPX13254704"
"Batch","171207_Evert_wt_PAO"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","809"
"ProtocolName","ProtAtOnce"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","100 uL"
"SampleWash","On"
"BatchStartTime","07/12/2017 13:22:56"
"BatchStopTime","07/12/2017 14:11:48"
"BatchDescription","<None>"
"ProtocolPlate","Name","BioPlex_FlatBottomPlate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","50"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 07/12/2017 10:36:58"
"Last VER Verification","Passed 07/12/2017 10:38:03"
"Last Fluidics Test","Passed 07/12/2017 10:39:18"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B52774","25/02/2018","07/12/2017 10:36:58","25.6","25.6","25.6","25.6","202","234","433","433","0.00703","0.007","0.00387","0.11545","Pass","MAGPX13254704"


"Samples","60","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"1(1,A1)","Unknown1","NaN","2126","NaN","NaN","NaN","383.5","NaN","NaN","NaN","NaN","597","NaN","NaN","572","3121","NaN","NaN","NaN","NaN","182","NaN","6480","NaN","NaN","NaN","2624.5","NaN","NaN","NaN","NaN","3744","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5533"
"2(1,B1)","Unknown2","NaN","414","NaN","NaN","NaN","77","NaN","NaN","NaN","NaN","141","NaN","NaN","108","484.5","NaN","NaN","NaN","NaN","100","NaN","592","NaN","NaN","NaN","1026","NaN","NaN","NaN","NaN","993.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","6752"
"3(1,C1)","Unknown3","NaN","2365.5","NaN","NaN","NaN","391","NaN","NaN","NaN","NaN","631","NaN","NaN","567.5","3224","NaN","NaN","NaN","NaN","187","NaN","7144","NaN","NaN","NaN","2886","NaN","NaN","NaN","NaN","4387","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5212"
"4(1,D1)","Unknown4","322","2270.5","NaN","NaN","NaN","353","NaN","NaN","NaN","NaN","642.5","NaN","NaN","292.5","2677","NaN","NaN","NaN","NaN","189","NaN","7865.5","NaN","NaN","NaN","2793","NaN","NaN","NaN","NaN","3956","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5495"
"5(1,E1)","Unknown49","NaN","35","NaN","NaN","NaN","21","NaN","NaN","NaN","NaN","86.5","NaN","NaN","42","30","NaN","NaN","NaN","NaN","54","NaN","33","NaN","NaN","NaN","26","NaN","NaN","NaN","NaN","72","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","8343"
"6(1,F1)","Unknown51","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","24"
"9(1,A2)","Unknown5","NaN","1984","NaN","NaN","NaN","299","NaN","NaN","NaN","NaN","532.5","NaN","NaN","190","3329","NaN","NaN","NaN","NaN","160","NaN","2986","NaN","NaN","NaN","2670","NaN","NaN","NaN","NaN","3724","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","6593"
"10(1,B2)","Unknown6","NaN","2201","NaN","NaN","NaN","256","NaN","NaN","NaN","NaN","562.5","NaN","NaN","223","3600","NaN","NaN","NaN","NaN","181","NaN","3410","NaN","NaN","NaN","3523","NaN","NaN","NaN","NaN","4306","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3998"
"11(1,C2)","Unknown7","NaN","1970","NaN","NaN","NaN","228","NaN","NaN","NaN","NaN","517","NaN","NaN","162","2890.5","NaN","NaN","NaN","NaN","147","NaN","2665","NaN","NaN","NaN","2809","NaN","NaN","NaN","NaN","3832","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5285"
"12(1,D2)","Unknown8","NaN","1412","NaN","NaN","NaN","285.5","NaN","NaN","NaN","NaN","328.5","NaN","NaN","375","2321","NaN","NaN","NaN","NaN","164.5","NaN","5312.5","NaN","NaN","NaN","2449","NaN","NaN","NaN","NaN","3875","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3944"
"13(1,E2)","Unknown50","NaN","39.5","NaN","NaN","NaN","23","NaN","NaN","NaN","NaN","90","NaN","NaN","47","31","NaN","NaN","NaN","NaN","60","NaN","34","NaN","NaN","NaN","30","NaN","NaN","NaN","NaN","82","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3469"
"17(1,A3)","Unknown9","NaN","2107","NaN","NaN","NaN","386","NaN","NaN","NaN","NaN","623","NaN","NaN","236","3060.5","NaN","NaN","NaN","NaN","174","NaN","3647","NaN","NaN","NaN","2718","NaN","NaN","NaN","NaN","3913","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5292"
"18(1,B3)","Unknown10","NaN","2585","NaN","NaN","NaN","342.5","NaN","NaN","NaN","NaN","513","NaN","NaN","263","3442","NaN","NaN","NaN","NaN","185","NaN","4406","NaN","NaN","NaN","4038","NaN","NaN","NaN","NaN","4584","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3942"
"19(1,C3)","Unknown11","NaN","2506","NaN","NaN","NaN","379","NaN","NaN","NaN","NaN","654.5","NaN","NaN","268","3099.5","NaN","NaN","NaN","NaN","174","NaN","4208","NaN","NaN","NaN","3674","NaN","NaN","NaN","NaN","4464","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5590"
"20(1,D3)","Unknown12","NaN","1036","NaN","NaN","NaN","266","NaN","NaN","NaN","NaN","326.5","NaN","NaN","418","2031","NaN","NaN","NaN","NaN","151","NaN","5564","NaN","NaN","NaN","2009","NaN","NaN","NaN","NaN","3390","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5565"
