,var,cl,pert_name,target,inhibitor,concentration,value,IC90,normalized_concentration,imax,ki
0,rp_pi3k_AKTi1uM_BioAkt,pi3k,AKTi1uM,BioAkt,AKTi,1.0,-4.135641953540867,5.0,0.2,-10.14087473271253,0.2904135728689029
1,rp_pi3k_AKTi5uM_BioAkt,pi3k,AKTi5uM,BioAkt,AKTi,5.0,-7.85862373577403,5.0,1.0,-10.14087473271253,0.2904135728689029
2,rp_wt_AKTi1uM_BioAkt,wt,AKTi1uM,BioAkt,AKTi,1.0,-5.065006972986025,5.0,0.2,-7.181795979118139,0.08358484074836793
3,rp_wt_AKTi5uM_BioAkt,wt,AKTi5uM,BioAkt,AKTi,5.0,-6.627811417293376,5.0,1.0,-7.181795979118139,0.08358484074836793
4,rp_pi3k_EGFRi03uM_EGFR,pi3k,EGFRi03uM,EGFR,EGFRi,0.3,-0.35869165002869097,1.0,0.3,-0.4539254689689825,0.07965099222536492
5,rp_pi3k_EGFRi1uM_EGFR,pi3k,EGFRi1uM,EGFR,EGFRi,1.0,-0.4204372262959196,1.0,1.0,-0.4539254689689825,0.07965099222536492
6,rp_wt_EGFRi03uM_EGFR,wt,EGFRi03uM,EGFR,EGFRi,0.3,-0.35869165002869097,1.0,0.3,-0.4539254689689825,0.07965099222536492
7,rp_wt_EGFRi1uM_EGFR,wt,EGFRi1uM,EGFR,EGFRi,1.0,-0.4204372262959196,1.0,1.0,-0.4539254689689825,0.07965099222536492
8,rp_pi3k_ERKi002uM_ERK1,pi3k,ERKi002uM,ERK1,ERKi,0.02,-0.7753281108345134,0.4,0.049999999999999996,-1.3822760028950367,0.03914135728980201
9,rp_pi3k_ERKi04uM_ERK1,pi3k,ERKi04uM,ERK1,ERKi,0.4,-1.3302097863761275,0.4,1.0,-1.3822760028950367,0.03914135728980201
10,rp_wt_ERKi002uM_ERK1,wt,ERKi002uM,ERK1,ERKi,0.02,-1.2015071730950004,0.4,0.049999999999999996,-2.004276698082223,0.033406772051330635
11,rp_wt_ERKi04uM_ERK1,wt,ERKi04uM,ERK1,ERKi,0.4,-1.9394847723895141,0.4,1.0,-2.004276698082223,0.033406772051330635
12,rp_pi3k_GSK3i2uM_GSK3,pi3k,GSK3i2uM,GSK3,GSK3i,2.0,0.0,5.0,0.4,-3.66802219483408,99.99999999996909
13,rp_pi3k_GSK3i5uM_GSK3,pi3k,GSK3i5uM,GSK3,GSK3i,5.0,-0.042197438157922824,5.0,1.0,-3.66802219483408,99.99999999996909
14,rp_wt_GSK3i2uM_GSK3,wt,GSK3i2uM,GSK3,GSK3i,2.0,0.0,5.0,0.4,-3.66802219483408,99.99999999996909
15,rp_wt_GSK3i5uM_GSK3,wt,GSK3i5uM,GSK3,GSK3i,5.0,-0.042197438157922824,5.0,1.0,-3.66802219483408,99.99999999996909
16,rp_pi3k_IGF1Ri3uMakt_BioAkt,pi3k,IGF1Ri3uMakt,BioAkt,IGF1Ri,3.0,0.0,10.0,0.3,0.0,inf
17,rp_pi3k_IGF1Ri10uMakt_BioAkt,pi3k,IGF1Ri10uMakt,BioAkt,IGF1Ri,10.0,0.0,10.0,1.0,0.0,inf
18,rp_wt_IGF1Ri3uMakt_BioAkt,wt,IGF1Ri3uMakt,BioAkt,IGF1Ri,3.0,-2.7636686009360876,10.0,0.3,-4.540405950589187,0.19286726516898203
19,rp_wt_IGF1Ri10uMakt_BioAkt,wt,IGF1Ri10uMakt,BioAkt,IGF1Ri,10.0,-3.806296042456988,10.0,1.0,-4.540405950589187,0.19286726516898203
20,rp_pi3k_IGF1Ri3uMmek_MEK1,pi3k,IGF1Ri3uMmek,MEK1,IGF1Ri,3.0,0.0,10.0,0.3,0.0,inf
21,rp_pi3k_IGF1Ri10uMmek_MEK1,pi3k,IGF1Ri10uMmek,MEK1,IGF1Ri,10.0,0.0,10.0,1.0,0.0,inf
