"AppliedConcentrations"	"Combo"	"NDrugs"	"WT"	"PI3K"	"Selectivity"	"EGFRi"	"IGF1Ri"	"RAFi"	"MEKi"	"ERKi"	"GSK3i"	"PI3Ki"	"AKTi"	"mTORi"
"EGFRi:0.00062 + GSK3i:0.36"	"EGFRi+GSK3i"	2.	0.78	0.83	0.05	0.00062	0	0	0	0	0.36	0	0	0
"EGFRi:0.00047 + MEKi:0.00028"	"EGFRi+MEKi"	2.	0.79	0.82	0.027	0.00047	0	0	0.00028	0	0	0	0	0
"EGFRi:0.00073 + RAFi:0.00032"	"EGFRi+RAFi"	2.	0.78	0.83	0.053	0.00073	0	0.00032	0	0	0	0	0	0
"EGFRi:0.00083 + mTORi:0.000014"	"EGFRi+mTORi"	2.	0.77	0.83	0.059	0.00083	0	0	0	0	0	0	0	0.000014
"ERKi:0.000014 + GSK3i:0.36"	"ERKi+GSK3i"	2.	0.78	0.83	0.048	0	0	0	0	0.000014	0.36	0	0	0
"ERKi:0.000011 + MEKi:0.00028"	"ERKi+MEKi"	2.	0.79	0.81	0.026	0	0	0	0.00028	0.000011	0	0	0	0
"ERKi:0.000016 + RAFi:0.00032"	"ERKi+RAFi"	2.	0.78	0.83	0.051	0	0	0.00032	0	0.000016	0	0	0	0
"ERKi:0.000019 +                -6
mTORi:8.4 10"	"ERKi+mTORi"	2.	0.77	0.83	0.057	0	0	0	0	0.000019	0	0	0	8.4e-6
"AKTi:0.00050 + GSK3i:0.36"	"AKTi+GSK3i"	2.	0.78	0.83	0.056	0	0	0	0	0	0.36	0	0.0005	0
"AKTi:0.00023 + GSK3i:0.36 + MEKi:0.00028"	"AKTi+GSK3i+MEKi"	3.	0.79	0.81	0.023	0	0	0	0.00028	0	0.36	0	0.00023	0
"AKTi:0.00042 + GSK3i:0.36 + RAFi:0.00032"	"AKTi+GSK3i+RAFi"	3.	0.78	0.83	0.05	0	0	0.00032	0	0	0.36	0	0.00042	0
"AKTi:0.00049 + GSK3i:0.36 + mTORi:0.000011"	"AKTi+GSK3i+mTORi"	3.	0.78	0.83	0.056	0	0	0	0	0	0.36	0	0.00049	0.000011
"AKTi:0.00038 + MEKi:0.00028"	"AKTi+MEKi"	2.	0.79	0.82	0.033	0	0	0	0.00028	0	0	0	0.00038	0
"AKTi:0.00058 + RAFi:0.00032"	"AKTi+RAFi"	2.	0.77	0.83	0.058	0	0	0.00032	0	0	0	0	0.00058	0
"AKTi:0.00067 +                -6
mTORi:2.4 10"	"AKTi+mTORi"	2.	0.77	0.83	0.064	0	0	0	0	0	0	0	0.00067	2.4e-6
"AKTi:0.00030 + MEKi:0.00028 + RAFi:0.00032"	"AKTi+MEKi+RAFi"	3.	0.79	0.82	0.027	0	0	0.00032	0.00028	0	0	0	0.0003	0
"AKTi:0.00037 + MEKi:0.00028 + mTORi:0.000018"	"AKTi+MEKi+mTORi"	3.	0.79	0.82	0.033	0	0	0	0.00028	0	0	0	0.00037	0.000018
"AKTi:0.00058 + RAFi:0.00032 +                -6
mTORi:6.6 10"	"AKTi+RAFi+mTORi"	3.	0.77	0.83	0.058	0	0	0.00032	0	0	0	0	0.00058	6.6e-6
"EGFRi:0.00028 + GSK3i:0.36 + MEKi:0.00028"	"EGFRi+GSK3i+MEKi"	3.	0.79	0.81	0.018	0.00028	0	0	0.00028	0	0.36	0	0	0
