Well	Treatment	Viability	NormalizedViability
C3	DMSO	22668	1.0721916245137062
D3	EGFRi 0.3uM + MEKi 0.002uM	10707	0.42739957412781565
E3	DMSO	25360	1.2173116144509035
F3	EGFRi 0.3uM + MEKi 0.002uM	11844	0.4886928239638459
G3	DMSO	23163	1.0988760208803157
H3	EGFRi 0.3uM + MEKi 0.002uM	9468	0.36060772140412045
I3	DMSO	20139	0.9358586176224832
J3	EGFRi 0.3uM + MEKi 0.002uM	9311	0.3521441855868322
K3	FGFRi 0.1uM	20179	0.938014932480391
L3	EGFRi 0.3uM + mTORi 0.01uM	14073	0.60885346942076
M3	FGFRi 0.1uM	21956	1.0338092200429467
N3	EGFRi 0.3uM + mTORi 0.01uM	15409	0.6808743856748818
C4	EGFRi 0.3uM	14546	0.6343518926155202
D4	EGFRi 0.3uM + ERKi 0.02uM	10188	0.3994213888464615
E4	EGFRi 0.3uM	15226	0.6710092451999534
F4	EGFRi 0.3uM + ERKi 0.02uM	10340	0.40761538530651126
G4	EGFRi 0.3uM	14865	0.6515485036073352
H4	EGFRi 0.3uM + ERKi 0.02uM	8788	0.32395036881968725
I4	EGFRi 0.3uM	15850	0.7046477569833156
J4	EGFRi 0.3uM + ERKi 0.02uM	9714	0.37386905778025364
K4	EGFRi 1uM	4452	0.09020583822247781
L4	MEKi 0.002uM + PI3Ki 1uM	13782	0.5931662788294805
M4	EGFRi 1uM	5401	0.14136440822634122
N4	MEKi 0.002uM + PI3Ki 1uM	15816	0.702814889354094
C5	RAFi 1uM	7947	0.278613848932175
D5	MEKi 0.002uM + ERKi 0.02uM	13428	0.5740828923369962
E5	RAFi 1uM	5495	0.14643174814242463
F5	MEKi 0.002uM + ERKi 0.02uM	12275	0.5119271165578028
G5	RAFi 1uM	5111	0.1257311255065094
H5	MEKi 0.002uM + ERKi 0.02uM	11298	0.4592591261534039
I5	RAFi 1uM	5789	0.16228066234804722
J5	MEKi 0.002uM + ERKi 0.02uM	9605	0.36799309979245476
K5	RAFi 1uM	5384	0.14044797441173038
L5	ERKi 0.02uM + PI3Ki 1uM	10121	0.39580956145946583
M5	RAFi 1uM	5682	0.15651252010314376
N5	ERKi 0.02uM + PI3Ki 1uM	11380	0.463679571612115
C6	MEKi 0.002uM	21506	1.0095506778914836
D6	IGF1Ri 3uM + AKTi 1uM	10546	0.4187204068247366
E6	MEKi 0.002uM	21230	0.9946721053719194
F6	IGF1Ri 3uM + AKTi 1uM	9057	0.3384515862391174
G6	MEKi 0.002uM	17411	0.788797944313169
H6	IGF1Ri 3uM + AKTi 1uM	8638	0.31586418810253286
I6	MEKi 0.002uM	18289	0.8361290554442459
J6	IGF1Ri 3uM + AKTi 1uM	8159	0.2900423176790865
K6	MEKi 0.02uM	7558	0.2576436869390213
L6	ERKi 0.02uM + AKTi 1uM	6132	0.1807710622546069
M6	MEKi 0.02uM	8206	0.2925759876371282
N6	ERKi 0.02uM + AKTi 1uM	7312	0.2443823505628881
C7	ERKi 0.02uM	16105	0.7183942642024781
D7	IGF1Ri 3uM + mTORi 0.01 uM	15965	0.7108471621998007
E7	ERKi 0.02uM	16108	0.7185559878168212
F7	IGF1Ri 3uM + mTORi 0.01 uM	14052	0.6077214041203585
G7	ERKi 0.02uM	14348	0.6236781340688764
H7	IGF1Ri 3uM + mTORi 0.01 uM	13043	0.5533283618296333
I7	ERKi 0.02uM	15940	0.7094994654136083
J7	IGF1Ri 3uM + mTORi 0.01 uM	12226	0.5092856308568657
K7	ERKi 0.4uM	5733	0.15926182154697624
L7	PI3Ki 0.16uM	18751	0.8610344920530815
M7	ERKi 0.4uM	6169	0.18276565349817164
N7	PI3Ki 0.16uM	20198	0.9390391820378973
C8	GSK3i 2uM	22831	1.0809786075596806
D8	AKTi 1uM + mTORi 0.01uM	9164	0.3442197284840209
E8	GSK3i 2uM	20795	0.9712221812921717
F8	AKTi 1uM + mTORi 0.01uM	8625	0.3151633857737128
G8	GSK3i 2uM	20107	0.9341335657361569
H8	AKTi 1uM + mTORi 0.01uM	6762	0.21473302126665533
I8	GSK3i 2uM	20020	0.9294435809202074
J8	AKTi 1uM + mTORi 0.01uM	7337	0.2457300473490805
K8	GSK3i 5uM	23222	1.1020565852957296
L8	AKTi 0.35uM	13989	0.6043252082191536
M8	GSK3i 5uM	23591	1.1219485898599295
N8	AKTi 0.35uM	15559	0.6889605663920362
C9	IGF1Ri 3uM	19014	0.8752122622438254
D9	PI3Ki 1uM + mTORi 0.01uM	12951	0.5483688376564453
E9	IGF1Ri 3uM	19655	0.9097672078417984
F9	PI3Ki 1uM + mTORi 0.01uM	12825	0.5415764458540355
G9	IGF1Ri 3uM	15376	0.6790954259171078
H9	PI3Ki 1uM + mTORi 0.01uM	10934	0.4396366609464426
I9	IGF1Ri 3uM	16843	0.7581782733308776
J9	PI3Ki 1uM + mTORi 0.01uM	11882	0.4907413230788583
K9	IGF1Ri 10uM	12965	0.549123547856713
L9	mTORi 0.00475uM	14358	0.6242172127833534
M9	IGF1Ri 10uM	16049	0.7153754234014071
N9	mTORi 0.00475uM	17832	0.8114931581926489
C10	PI3Ki 1uM	16091	0.7176395540022104
D10	EGFRi 0.3uM + IGF1Ri 3uM	17014	0.7673965193484337
E10	PI3Ki 1uM	17797	0.8096063826919796
F10	EGFRi 0.3uM + IGF1Ri 3uM	17596	0.7987709005309926
G10	PI3Ki 1uM	14593	0.6368855625735619
H10	EGFRi 0.3uM + IGF1Ri 3uM	15432	0.6821142667181788
I10	PI3Ki 1uM	13113	0.557101912830972
J10	EGFRi 0.3uM + IGF1Ri 3uM	13392	0.5721422089648791
K10	PI3Ki 2uM	6082	0.1780756686822221
L10	PI3Ki 0.16uM + AKTi 0.35uM + mTORi 0.00475uM	8560	0.3116593741296126
M10	PI3Ki 2uM	7395	0.24885670389304684
N10	PI3Ki 0.16uM + AKTi 0.35uM + mTORi 0.00475uM	11612	0.47618619778798044
B11	PAO 10uM	2851	0.003899336034716678
C11	AKTi 1uM	11541	0.47235873891519403
D11	EGFRi 0.3uM + PI3Ki 1uM	14550	0.634567524101311
E11	AKTi 1uM	13941	0.6017376303896642
F11	EGFRi 0.3uM + PI3Ki 1uM	14107	0.6106863370499817
G11	AKTi 1uM	11337	0.46136153313986406
H11	EGFRi 0.3uM + PI3Ki 1uM	12387	0.5179647981599448
I11	AKTi 1uM	9770	0.3768878985813246
J11	EGFRi 0.3uM + PI3Ki 1uM	12788	0.5395818546104708
K11	AKTi 5uM	6057	0.1767279718960297
L11	PI3Ki 0.16uM + AKTi 0.35uM	14079	0.6091769166494462
M11	AKTi 5uM	6056	0.17667406402458202
N11	PI3Ki 0.16uM + AKTi 0.35uM	13797	0.593974896901196
O11	PAO 10uM	2789	5.570480049595324e-4
B12	PAO 10uM	2755	-0.001275819624262128
C12	mTORi 0.01uM	14804	0.6482601234490257
D12	EGFRi 0.3uM + AKTi 1uM	14409	0.6269665142271859
