Sample_number	Treatment	Akt1	BioAkt	CREB1	EGFR	ERK1	GSK3	MEK1	P70S6K	PRAS40	RS6
1	DMSO	2683.6768532321457	17440.491868816916	3736.911234584633	277.85675565794827	463.444098116276	118.48231467678549	6584.680851063831	2072.39199078466	1031.2155441116686	3871.6455481772605
2	EGFRi 0.3uM	2646.653165058808	13243.490485000662	3246.3294568521214	195.29100039645832	194.26853442579625	95.08933527157394	3348.5760539183298	1938.084247389983	873.697171930752	3485.0752610017184
3	RAFi 1uM	2823.1354129102056	16047.369455463397	3247.698521456906	254.8308690948431	181.35773530472412	85.56364947710061	3332.3321312657768	1860.5443562928235	892.3730616660656	3400.6900468806343
4	MEKi 0.002uM	2911.1462617377865	15352.146618328776	3305.2154998217043	252.9032449780102	320.95720908118386	91.04516819208368	5116.922382027814	1999.7749316533934	904.4739688577201	3637.6683109473433
5	ERKi 0.02uM	2868.9691043445023	17773.21677920754	3421.471142820741	300.64785322971073	355.8487705440183	127.15925595617274	8735.54516498917	2036.0266912982543	965.5231876672186	3702.897248057077
6	GSK3i 2uM	2392.403726343012	14585.88662278124	3064.9688491830257	240.10438462442696	375.6178441283649	95.49606206653344	5190.438344892442	1736.6641001528153	863.557246973081	3273.695956271306
7	DMSO	2949.472457903668	16524.822151155204	3378.183657485968	309.03563503459077	415.0772745072445	113.11108210416396	6058.512335204282	2009.2365879128051	927.6118652917374	3965.4523560892835
8	IGF1Ri 3uM	2561.69410801964	12543.394926350247	2989.276268412439	230.46382978723406	371.4435351882161	96.23764320785598	5091.309001636662	1693.8669394435353	787.207037643208	3178.7968903436995
9	PI3Ki 1uM	1940.38903256142	4603.36493475961	2503.8157987539676	205.5439050193958	322.8676384154226	84.58222640178677	4885.760432584931	1027.2647819442811	658.9228282590808	2391.4942400376162
10	AKTi 1uM	2195.3749533407986	27.43617021276596	2865.876446435237	253.18290406868235	364.852930197835	92.41657334826428	5723.088839119075	1337.6336319522209	430.79600597237777	3018.4600597237777
11	mTORi 0.01uM	2375.9110305479617	12315.46838226554	2954.829549506716	278.6533935575894	340.2698205158683	86.44692737430168	5400.174016403185	1334.8693094021157	855.732616189231	3083.120468322834
12	FGFRi 0.1uM	2297.9646348476144	14854.239160437037	3389.330994824613	270.50580793559527	399.52995974698115	103.21932144910872	5746.468775158139	1894.8753881541122	868.0211040828065	4022.439160437034
13	Lysis buffer	795.5	16.5	908	38	56	31	629	307.5	69.5	616.5
14	EGFRi 0.3uM	3162.998480243162	10501.334129396442	4464.816760746853	219.4893617021277	225.08858011289627	113.10421189752499	4319.23708206687	2688.1847590099874	831.4839339991318	4028.6376465479816
15	RAFi 1uM	3662.463212079616	16861.56218256692	4402.177762525738	331.35813315030884	240.0222374742622	110.45271105010296	4770.707481125601	2625.9070006863417	944.6892930679479	4737.2530542210025
16	MEKi 0.002uM	3328.059213167403	16535.72802087515	3559.454837414693	274.36170212765956	358.2232035327178	109.74468085106383	6003.862304295464	2208.8705339221196	829.8147330389402	4301.266760337214
17	ERKi 0.02uM	3032.8327009079826	17468.801802412254	3870.072774088631	333.42810678953794	355.4469440303565	124.77341103130509	9072.809459276326	2320.890296788183	1017.5848353435427	4403.243190134165
18	GSK3i 2uM	2995.3140610545793	15590.049887670148	3682.922426324832	274.0208801374389	417.16611603013087	102.24659706620855	6369.962997224792	2114.9708603145236	907.4385489626009	3871.5673979119865
19	DMSO	3140.6016066000875	17511.555579678683	3830.9852366478513	302.35779418150247	432.2596613113331	111.98436821537128	6751.537559704734	2157.3788536691277	859.4800260529745	4165.258575770735
20	IGF1Ri 3uM	2260.998215050693	15445.827288305014	3468.0055690418394	255.21162358989008	396.62758817649586	92.80422675996003	6471.990004283879	1980.375910324147	825.847136941311	3528.21783521348
21	PI3Ki 1uM	2702.1708918062477	6044.713671344501	3437.110004526936	239.33680398370308	372.43141693073795	91.06473517428702	6378.033952014487	1442.4420552286103	613.5194658216388	3005.720009053871
22	AKTi 1uM	1791.3896869494515	17.300514974928856	2389.568098658355	128.96747526765148	292.5359804851607	65.00799566336903	3690.7765279848227	1534.503252473235	133.68579753354115	1673.9558883317527
23	mTORi 0.01uM	2659.8354276738546	14524.41389404541	3279.082678851921	260.73568470655437	373.42653148650584	97.22347565329146	6167.06183064401	1611.3686277309725	887.716621447951	3533.7418963301448
24	FGFRi 0.1uM	2470.8483870967743	16056.531846259439	3668.3044612216886	280.3799588194921	415.2597117364448	113.63884694577901	6296.866575154427	2104.442759094029	999.9156485929993	3758.0472889498974
25	DMSO	2846.3864046159392	16267.788856833753	3632.734944103858	302.2628921745402	478.97042913811754	132.99567255679767	6401.463036422647	2276.272087991345	923.9944103858636	4090.7794807068153
26	EGFRi 1uM	2469.7366554684586	11148.2304964539	3017.978723404255	155.95296752519596	158.84098544232924	79.90182904068682	2800.4147069802166	1849.7754759238521	824.5291153415453	3276.456326987682
27	RAFi 1uM	2775.483877362231	18243.34908153826	3655.3158451169556	292.42526760935647	221.87511563367255	101.22413109554645	4203.357605391833	2137.4651116690898	953.4495176423947	4339.856812475222
