Treatment	TreatmentLuminex
PAO_10_µM	PAO 10uM
DMSO	DMSO
EGFRi (Gefitinib)_0.3_µM	EGFRi 0.3uM
RAFi (LY3009120)_1_µM	RAFi 1uM
MEKi (Trametinib)_0.002_µM	MEKi 0.002uM
ERKi (SCH772984)_0.02_µM	ERKi 0.02uM
GSK3i (3F8)_2_µM	GSK3i 2uM
IGF1R (OSI-906)_3_µM	IGF1Ri 3uM
PI3Ki (BKM120)_1_µM	PI3Ki 1uM
AKTi (MK2206)_1_µM	AKTi 1uM
mTORi (AZD8055)_0.01_µM	mTORi 0.01uM
FGFRi (AZD4547)_0.1_µM	FGFRi 0.1uM
EGFRi (Gefitinib)_1_µM	EGFRi 1uM
MEKi (Trametinib)_0.02_µM	MEKi 0.02uM
ERKi (SCH772984)_0.4_µM	ERKi 0.4uM
GSK3i (3F8)_4.9_µM	GSK3i 5uM
IGF1R (OSI-906)_10_µM	IGF1Ri 10uM
PI3Ki (BKM120)_2_µM	PI3Ki 2uM
AKTi (MK2206)_5_µM	AKTi 5uM
mTORi (AZD8055)_0.3_µM	mTORi 0.3uM
EGFRi (Gefitinib)_0.3_µM + MEKi (Trametinib)_0.002_µM	EGFRi 0.3uM + MEKi 0.002uM
EGFRi (Gefitinib)_0.3_µM + ERKi (SCH772984)_0.02_µM	EGFRi 0.3uM + ERKi 0.02uM
MEKi (Trametinib)_0.002_µM + ERKi (SCH772984)_0.02_µM	MEKi 0.002uM + ERKi 0.02uM
AKTi (MK2206)_1_µM + IGF1R (OSI-906)_3_µM	IGF1Ri 3uM + AKTi 1uM
mTORi (AZD8055)_0.01_µM + IGF1R (OSI-906)_3_µM	IGF1Ri 3uM + mTORi 0.01 uM
AKTi (MK2206)_1_µM + mTORi (AZD8055)_0.01_µM	AKTi 1uM + mTORi 0.01uM
PI3Ki (BKM120)_1_µM + mTORi (AZD8055)_0.01_µM	PI3Ki 1uM + mTORi 0.01uM
EGFRi (Gefitinib)_0.3_µM + IGF1R (OSI-906)_3_µM	EGFRi 0.3uM + IGF1Ri 3uM
EGFRi (Gefitinib)_0.3_µM + PI3Ki (BKM120)_1_µM	EGFRi 0.3uM + PI3Ki 1uM
EGFRi (Gefitinib)_0.3_µM + AKTi (MK2206)_1_µM	EGFRi 0.3uM + AKTi 1uM
EGFRi (Gefitinib)_0.3_µM + mTORi (AZD8055)_0.01_µM	EGFRi 0.3uM + mTORi 0.01uM
MEKi (Trametinib)_0.002_µM + PI3Ki (BKM120)_1_µM	MEKi 0.002uM + PI3Ki 1uM
ERKi (SCH772984)_0.02_µM + PI3Ki (BKM120)_1_µM	ERKi 0.02uM + PI3Ki 1uM
ERKi (SCH772984)_0.02_µM + AKTi (MK2206)_1_µM	ERKi 0.02uM + AKTi 1uM
PI3Ki (BKM120)_0.16_µM	PI3Ki 0.16uM
AKTi (MK2206)_0.35_µM	AKTi 0.35uM
mTORi (AZD8055)_0.00475_µM	mTORi 0.00475uM
PI3Ki (BKM120)_0.16_µM + AKTi (MK2206)_0.35_µM + mTORi (AZD8055)_0.00475_µM	PI3Ki 0.16uM + AKTi 0.35uM + mTORi 0.00475uM
PI3Ki (BKM120)_0.16_µM + AKTi (MK2206)_0.35_µM	PI3Ki 0.16uM + AKTi 0.35uM
AKTi (MK2206)_0.35_µM + mTORi (AZD8055)_0.00475_µM	AKTi 0.35uM + mTORi 0.00475uM
