Sample_number	Treatment	Akt1	BioAkt	CREB1	EGFR	ERK1	GSK3	MEK1	P70S6K	PRAS40	RS6
1	DMSO	2259.792784458834	4470.838112858463	3192.0878815911187	315.1174838112858	459.18362627197035	108.81128584643847	5611.615633672524	1818.018963922294	443.07955596669746	2690.2502312673446
2	EGFRi 0.3uM	2260.5219130751043	1571.7557737770503	3120.4100745590104	237.00400072740496	124.4912711402073	88.12784142571375	2526.1888525186396	1665.4450809238042	379.89088925259136	2822.2299509001637
3	RAFi 1uM	2262.9089933845876	7374.223136062935	3226.9586983729655	306.2077596996245	161.0955658859288	98.42392276059358	3039.7849991060248	1740.9257107098156	450.0581083497228	2548.506615412122
4	MEKi 0.002uM	3694.7520983798554	6316.804606675776	3921.5986726527426	325.1161428850283	335.6778254928753	108.37204762834277	5543.964961936365	2265.251317587351	414.20163966425923	2818.1324419285575
5	ERKi 0.02uM	3517.3300970873784	7556.574054947325	3851.6659781036974	398.48171865317084	333.84992770088826	143.84218136748606	8716.544618880396	2287.3822557322865	494.70047510844864	2681.976347862012
6	GSK3i 2uM	3496.645175155814	3389.460563077585	4444.116698903934	362.0008596604342	504.0710294433699	136.50870406189557	6940.203632065335	2247.3377390930586	536.9342359767892	3544.676015473888
7	DMSO	2537.479185938945	5299.544865864939	3589.0314523589263	251.57169287696573	491.3917668825161	122.7391304347826	5881.467622571692	1760.5666049953743	511.84828862164653	2614.5175763182233
8	IGF1Ri 3uM	2200.712679467221	612.0325203252034	3010.5163466528293	187.19079743988937	300.72608545234397	75.69019200830309	4317.1895000864915	1299.3482961425364	244.1619097042035	1698.9599550250828
9	PI3Ki 1uM	1850.6152961472108	162.33467510063252	2857.992141077247	191.19417289630053	337.7463101399271	70.34502587694077	4628.792888633314	905.0158136860264	234.48341958980254	1711.2780333525013
10	AKTi 1uM	2586.819807945773	15.946149501035586	3428.422142722651	230.33327057051403	417.70052720768217	95.67689700621352	5664.869610242892	1493.1797213330822	277.2858218791188	2115.9654490679723
11	mTORi 0.01uM	2043.2929011731953	1467.9150924637104	3502.7878305826207	252.60489162855436	428.96052893219326	115.07556174189699	5877.741598727381	1140.9320938556373	349.90455358918274	2082.1192085901766
12	FGFRi 0.1uM	2697.6493987049025	5084.533765032376	3488.0545790934316	221.97502312673447	421.7525439407955	102.71785383903791	5524.566604995373	1703.1142460684548	400.42553191489355	2065.238205365402
13	Lysis buffer	998	26	917	55	63.5	43	558.5	376.5	53	453.5
14	EGFRi 0.3uM	3844.745148468553	1674.3067570727146	4652.196633154081	257.4164133738602	196.36252045826515	136.40869768529345	3714.386836567688	2380.001753565584	521.4332476034605	3926.7003740939917
15	RAFi 1uM	4836.46500897206	9120.535760061524	5435.897205844656	385.9523199179698	263.5330684439888	154.38092796718794	5273.676621379135	3072.542296846963	512.5929248910537	4114.613560625482
16	MEKi 0.002uM	4477.28548047697	5126.326864624738	4969.016834229601	332.22118307224696	475.78033668459204	156.20996025251347	7148.805821837737	2829.9304418985275	491.7313537526304	3033.443418283844
17	ERKi 0.02uM	5316.761229314422	8806.889939584977	5722.130286314685	452.33254531126886	469.0169424743894	203.92040977147366	12390.327685841874	3302.892697662202	636.4788547412662	3719.3846861045454
18	GSK3i 2uM	5969.724303266409	5552.379382679055	6319.3916691639215	437.08420737189107	752.2078213964642	198.8028169014085	10000.063679952056	3113.872490260714	611.9178903206475	4037.389121965839
19	DMSO	4536.399776035834	4502.679731243002	5170.758118701008	351.952967525196	616.9714445688691	163.33146696528556	7606.504479283315	2803.5055991041436	514.2306830907055	3699.194288913774
20	IGF1Ri 3uM	3394.696650516115	477.7354118390562	3964.6092268801344	262.6553612808089	451.4698757109753	110.01790604592372	5770.984305877396	1800.428165156941	300.31914893617017	2494.2347798609644
21	PI3Ki 1uM	2604.748262060248	150.6551506214451	3678.1662102380446	235.894248999368	409.8414788287339	96.14177375184326	5570.771539919949	1241.4182641668422	242.83231514640823	2264.2874447019167
22	AKTi 1uM	4432.296404988996	23.012961604304234	5165.259232086086	352.0983125458548	646.0888970408414	158.7894350696992	8391.101124969431	2468.715456101737	341.7424798239179	3648.1297383223286
23	mTORi 0.01uM	3868.9466916062665	1860.2186111760582	4758.903436988544	314.6200607902736	565.9860883797055	150.70960953939678	7629.536474164134	2054.380991349077	488.4311433247604	2945.4378068739775
