Cell	Plate	Rep	Drug	Concentration	Viability	NormalizedViability
WT	1	1	EGFRi (Gefitinib)	0.001	35277.5	0.9517346389244652
WT	1	1	EGFRi (Gefitinib)	0.00175	34818.5	0.9384329364450066
WT	1	1	EGFRi (Gefitinib)	0.00275	34031.5	0.9156258779453684
WT	1	1	EGFRi (Gefitinib)	0.0045	34758	0.9366796619351868
WT	1	1	EGFRi (Gefitinib)	0.0075	33977.5	0.9140609717713144
WT	1	1	EGFRi (Gefitinib)	0.01225	32681	0.8764887337220376
WT	1	1	EGFRi (Gefitinib)	0.02025	33176	0.8908337069841988
WT	1	1	EGFRi (Gefitinib)	0.03325	32329.5	0.8663023537187049
WT	1	1	EGFRi (Gefitinib)	0.055	32076.5	0.8589704784958225
WT	1	1	EGFRi (Gefitinib)	0.09	29591	0.7869413248733947
WT	1	1	EGFRi (Gefitinib)	0.15	26968	0.7109274564559223
WT	1	1	EGFRi (Gefitinib)	0.245	21600.5	0.5553786807293558
WT	1	1	EGFRi (Gefitinib)	0.41	13315.5	0.3152815019879299
WT	1	1	EGFRi (Gefitinib)	0.675	8252.5	0.16855705829838993
WT	1	1	EGFRi (Gefitinib)	1.11	5493	0.08858745482983658
WT	1	1	EGFRi (Gefitinib)	1.835	5727	0.09536871491740372
WT	1	1	EGFRi (Gefitinib)	3.03	5126	0.0779518887950625
WT	1	1	EGFRi (Gefitinib)	5	5391.5	0.08564601081749443
WT	1	1	MEKi (Trametinib)	0.001	21071	0.5400339063004379
WT	1	1	MEKi (Trametinib)	0.00175	18338.5	0.4608467559189115
WT	1	1	MEKi (Trametinib)	0.00275	14530.5	0.3504918909041439
WT	1	1	MEKi (Trametinib)	0.0045	11445.5	0.26108938077532085
WT	1	1	MEKi (Trametinib)	0.0075	10139	0.2232273452864044
WT	1	1	MEKi (Trametinib)	0.01225	8155	0.16573153326190365
WT	1	1	MEKi (Trametinib)	0.02025	6767	0.12550764863992428
WT	1	1	MEKi (Trametinib)	0.03325	6058	0.10496101016947516
WT	1	1	MEKi (Trametinib)	0.055	5608.5	0.0919346152576742
WT	1	1	MEKi (Trametinib)	0.09	5357.5	0.08466069952271972
WT	1	1	MEKi (Trametinib)	0.15	5667	0.09362993027956598
WT	1	1	MEKi (Trametinib)	0.245	5672	0.0937748289993858
WT	1	1	MEKi (Trametinib)	0.41	5362.5	0.08480559824253953
WT	1	1	MEKi (Trametinib)	0.675	5604	0.09180420640983637
WT	1	1	MEKi (Trametinib)	1.11	5635.5	0.09271706834470118
WT	1	1	MEKi (Trametinib)	1.835	5125	0.07792290905109854
